a	32
i	168
u	304
e	440
o	576
ka	712
ki	850
ku	988
ke	1126
ko	1264
sa	1402
shi	1540
su	1679
se	1817
so	1955
ta	2093
chi	2231
tsu	2370
te	2509
to	2647
na	2785
ni	2923
nu	3061
ne	3199
no	3337
ha	3475
hi	3612
fu	3749
he	3887
ho	4024
ma	4161
mi	4299
mu	4437
me	4575
mo	4713
ra	4851
ri	4989
ru	5127
re	5265
ro	5403
ya	5541
yu	5679
yo	5817
wa	5955
wo	6093
n	6231
ga	6364
gi	6502
gu	6640
ge	6778
go	6916
za	7054
ji	7192
zu	7330
ze	7468
zo	7606
da	7744
de	7882
do	8020
ba	8158
bi	8296
bu	8434
be	8572
bo	8710
pa	8848
pi	8986
pu	9124
pe	9262
po	9400
kya	9538
kyu	9683
kyo	9828
gya	9973
gyu	10118
gyo	10263
sha	10408
shu	10554
sho	10700
ja	10846
ju	10991
jo	11136
cha	11281
chu	11426
cho	11571
nya	11716
nyu	11861
nyo	12006
hya	12151
hyu	12296
hyo	12441
bya	12586
byu	12732
byo	12878
pya	13024
pyu	13170
pyo	13316
mya	13462
myu	13608
myo	13754
rya	13900
ryu	14045
ryo	14190
